seed_text(prime_text),generated _text,perplexity,,
international,"international hotel telford, telford. no reservation costs. great rates. best rates or refund",47.08705323,,
hotel,hotel in natick ma online. no reservation costs. great rates. find things to,59.4184239,,
deals,deals book a cheap hotel in hilton penh abbey island online. no reservation,82.43143523,,
coupon,"coupon book kata resort with 4 beach island. free nearby beach, paris hotel.",182.5879116,,
reservation,reservation costs. great rates. secure value with expedias price guarantee. hotels near st.,94.64587041,,
rates,rates book your hotel near virginia beach boardwalk. no reservation costs. great rates.,47.24917565,,
great,great up resort in camp padre island and save big! find your great,79.66541117,,
cost,"cost accommodation book your blackpool hotel in virginia beach, thailand. book a hotel",58.55217128,,
expedia,expedia instant beach creek. no reservation costs. great rates. book a cheap hotel,51.68922573,,
save,save on hotels in new delhi and save up to 50% on your,51.19468587,,
no,no reservation costs. great rates. best rates on this barcelona hotel. view tour,80.1887724,,
book,"book a 5-star in sophia, chicago, munich. casa rico. no reservation costs. great",73.49874422,,
big,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",61.02593036,,
vietnam,vietnam hotels in australia book your hotel in venice online. no reservation costs.,56.30512815,,
best prices,"best prices on this agra hotel. drury inn & resort, karavomylos. no reservation costs.",112.7190179,,
accommodation,"accommodation in washington, town book your rentals on expedia best price guarantee. secure",81.66893795,,
carnegie mellon university,carnegie mellon university book book london vacation rental georgia to the ball in hand. book,136.9711942,,
guarantee,"guarantee book at the crown, pacific resort now. save up to 50% on",75.01142819,,
japan.,"japan. acropolis square hotel, walk to las vegas. book your hotel in tokyo",100.2640493,,
no,no online. save up to 50% on great hotels. san jose hotels cancun.,72.30876889,,
"view,","view, noosa greece book inn, center online. no reservation costs. great rates. book",94.69110573,,
book,book online. best rates or refund + $50 coupon. book your trip to,43.30532791,,
hotel,hotel in plymouth meeting pa. no reservation costs. great rates. best rates or,51.62135272,,
compare,compare hotels in phuket online. book accommodation in boracay online. no reservation costs.,69.62363101,,
in,"in edmundston, nb and save big! book at the bay hotel, brighton &",92.46022659,,
a,a adeje gran hotel. no reservation costs. great rates. best rates or refund,58.49766002,,
no,no reservation costs. great rates. save up to $570 on travel hotels. hotels,60.59476085,,
reservation,reservation ocean beach package in dar barthelemy walk to shinsaibashi sun at silicon,179.2715598,,
in,"in edmundston, nb and save big! book at voyager island, beijing. book now",66.37287451,,
"choices,","choices, save on hotels in kansas city, wi. book at perfect hotel. dan",110.6217724,,
guarantee.,"guarantee. stay fun deals book accommodation in bowness-on-windermere book at the norman hotel,",107.3959978,,
rates.,"rates. book a hotel near st. cloud, florida and save big! best rates",56.13049713,,
costs.,"costs. great rates. 5-star beach resort with wi-fi, valley, san diego beach. s",153.9143737,,
great,great rates. gold lodge in tuba city key west. no reservation costs. great,86.42050447,,
rates.,"rates. book a hotel near san angeles beach, chiang lucia car rental delhi",199.0714639,,
near,"near the san antonio center. book at natura queen beach hotel, united mexico.",129.2144509,,
rates.,"rates. book a hotel near university view, boston. book at hotel hotel, glasgow.",55.01790694,,
on,on hotels in jersey. book your hotel in downtown mexico city. no reservation,42.94490038,,
with,"with city inn, lake hotel. no reservation costs. great rates best rates on",49.15123393,,
hotel.,"hotel. new antonio best now. your package to kauai, italy. more choices, best",90.18800915,,
your,"your the san antonio center. book at hamburg. arenal accommodation, marrakech. no reservation",92.29551863,,
in,"in edmundston, nb and save big! book a hostel in bansko. lowest price",71.59913799,,
"choices,","choices, center airport amazing fun on drury grove. museum. map and free valet",230.4476701,,
rates,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",34.33211042,,
book,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,31.16175882,,
a,a lauderdale online. no reservation costs. great rates. book now & save with,60.28709916,,
"palace,","palace, singapore. no reservation costs. great rates. book at grand hotel chester, dsseldorf.",55.24597141,,
great,great rates. cheap hotels by dubai save up to $570. book today for,77.19271095,,
rates.,rates. book your hotel le lake placid. no reservation costs. great rates. book,51.18794027,,
great,"great rates. hotel with expedia to canberra, burlington. best rates or refund +",44.25930633,,
refund,"refund this penasco birmingham florida a resort, mont-tremblant. georges to woodbury italy. sunshine",130.9597258,,
on,"on hotels in jersey. book your hotel in coconut grove, mexico city. no",63.01779101,,
book,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",102.8496507,,
mansions,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,123.1987925,,
to,to crystal san antonio center. book at natura inn and ubud island. no,119.8796561,,
no,no reservation costs. great rates. search for seattle hotels in groveland . save,64.72798992,,
rates.,"rates. book hotels near tahiti airport sand resort, laganas. no reservation costs. great",89.10692335,,
rates.,rates. book your all inclusive car rental book at lodging in isle of,148.6737952,,
save,save on hotels in kuala chang. no reservation costs. great rates. best rates,45.89744627,,
hotel,"hotel in natick ma online. no reservation costs. great rates. more choices, best",56.76066703,,
craggy,craggy this lake hotel. book save with expedia's price guarantee book at woodlands,146.9636209,,
book,book at dream hotel all du plaza hotel no reservation costs. great rates.,75.09770548,,
great,great rates. hotel at the metropolitan palace on site save with expedia's price,92.81475927,,
book,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",39.34679009,,
reservation,reservation costs. great rates. car rentals. long springs hotel with expedia. contemporary car,136.405012,,
no,no reservation costs. great rates. save big on hotels in orlando. book at,39.47640575,,
hotels,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,109.5603374,,
rates.,"rates. book at surf inn and suites, cape phi dallas no reservation costs.",120.5335717,,
hotel,hotel in natick ma online. no reservation costs. great rates. expedia best price,54.5524917,,
at,"at easyhotel luton, luton. no reservation costs. great rates new park hotel &",50.86778567,,
book,book rentals in worcester online book your hotel in port rose fl online.,89.84446708,,
hotels.,"hotels. book at hotel capo d'africa, rome. no reservation costs. great rates. best",47.86981542,,
save,save on hotels in davao city. find and compare exclusive deals on hotels,56.01078909,,
in,in west point ny online. no reservation costs. great rates. book at bayside,102.8187019,,
coupon.,coupon. book book self seychelles to vallarta and save big! save with expedia's,93.07675407,,
online.,online. no reservation costs. great rates. book at last-minute seattle hotel. find and,78.73519595,,
ambassador,"ambassador georgetown, keswick and and compare exclusive deals on hotels today! accommodations on",76.51819532,,
book,"book at book at pfister hotel, palma del carmen. no reservation costs. great",72.95613926,,
book,book your next beach book hotels nearby! find hotels near ben masjid malaysia,112.63439,,
zagreb,"zagreb online with expedia. book a motel in grass valley, ca. no reservation",68.28160492,,
reservation,reservation costs. great rates. best rates on hotels near red front inn and,68.15110353,,
"brighton,","brighton, plymouth. jersey and philippines. save up to 50% on your hotel! best",67.41638185,,
newcastle,"newcastle encore and save save big! your resort, hot west historic water slides,",212.3866051,,
book,"book punta barbados villa quick, easy fallsview tours. great rates on this moreton",144.8481909,,
b&b,b&b in amman. no reservation costs. great rates. best rates on hotel st-sauveur.,37.53942677,,
panoramic,"panoramic leavenworth, board. domingo, bank keswick fort jose park inn, flags book book",220.6770449,,
price,price guarantee. book luxurious hotels book hotels near lenox park nj book at,93.8839771,,
in,in tokyo. no reservation costs. great rates. your resort with the restaurants and,56.18690666,,
no,no reservation costs. great rates. book accommodation by congonhas sau phi in ottawa.,65.6608515,,
in,in battambang and save big! save big on this split hotel! hotel! reviews,83.64447459,,
book,"book costs! hotel today! more choices, best prices, trusted. cheap hotels in downtown",62.59481964,,
and,and online. guaranteed. book your hotel in las vegas qc online. no reservation,70.40331338,,
rates,"rates book your hotel near airport centre, london. no reservation costs harborside princess",56.87644734,,
on,"on this jakarta hotel. book the the park lane santa cana. more choices,",157.0707949,,
near,near the san antonio center. book at natura best now. save with expedia's,83.01653505,,
save,save on cheap hotels in az online. no reservation costs. great rates. book,51.82069807,,
hotel,hotel in plymouth best online. no reservation costs. great rates! best rates or,38.84842906,,
your,"your squaw san antonio center. book at oceanfront lodge, sydney, maria, ninh hong",157.1522528,,
great,great rates. camino world hotel west mega airlines. secure value with expedias price,154.409982,,
a,a adeje gran hotel. no reservation costs. great rates. best rates on country,75.12438267,,
great,"great rates. book at manhattan hotel near avenue marina, brussels. no reservation costs.",72.69461116,,
hull,"hull book at hotel oudaya, canary florida. no reservation costs. great rates. best",60.27484666,,
hotel,hotel in plymouth meeting de. best price guarantee! lowest price guarantee! book at,70.64505957,,
reservation,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",92.01194974,,
book,book at a hotel online. no reservation costs. great rates. book a hotel,33.29304578,,
save,"save on cheap hotels in taormina, nh md online. no reservation costs. great",73.43687938,,
islands.,"islands. choose from local car rental with 3 club, miami beach. quick, easy",318.8217654,,
with,"with city hotel, manila save on expedia's great rates vancouver at kyoto casino",100.9491642,,
rates.,"rates. book a hotel near acropolis, oh. new jose mall of edmonton ocean",136.8775781,,
hotel,hotel in plymouth meeting pa. no reservation costs. great rates. save on hotels,54.26878916,,
save,save on cheap hotels in lake tahoe. book on expedia today! save big,52.71430851,,
reservation,reservation costs. great rates. best rates or refund + $50 coupon. power and,44.76584086,,
from,"from thingholt, chi point north, england. no reservation costs. great rates suite hotel",87.32732247,,
less!,less! the phi darjeeling ny book no reservation credit card turkey in boracay,240.8196734,,
grand,"grand the san antonio center. book great rates from san francisco, all-inclusive station",127.4367839,,
a,a adeje gran hotel. no reservation costs. great rates. discounts on activities in,99.74400231,,
downtown,"downtown versailles, adeje manhattan, nc ny online. no reservation costs. great rates no",95.58096464,,
coupon.,coupon. book book at hotel les cottage online. no reservation costs. great rates.,74.67538409,,
helsingborg.,helsingborg. don't las best online. no reservation costs. great rates. secure value with,87.7105593,,
best,best here fort myers beach hotel today! book your hotel in laporte in,64.32661993,,
big!,"big! book a hotel near villa rosa, paris, stadium, kansas city. save with",82.5238678,,
costs.,costs. package to new on. save on your fallsview village orlando hotels book,103.4844517,,
full-service,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",46.71873756,,
reservation,reservation costs. great rates. best rates 10 bahamas hotels. best price guarantee. hotels,83.7665692,,
book,book at winnipeg hotel today! book your hotel in hong kong online. no,58.55243661,,
package,package san washington best hotel in santorini online. no reservation costs. great rates.,71.27729012,,
resorts.,resorts. book your hotel online. find and compare exclusive deals on hotels on,40.643777,,
in,in west point ny online. no reservation costs. great rates. best rates on,66.79065761,,
no,no reservation costs. great rates. save with expedia's great at calistoga on complimentary,68.05044347,,
and,and online big! book hotels near international square in arlington. no reservation costs.,62.83679886,,
on,on schiphol book today! book hotels today! find and compare exclusive deals on,61.04029651,,
your,your the san antonio center. book at natura playa #1 - kelowna. no,98.10043215,,
"ambassador,","ambassador, tokyo. and save big! lan dorado island, sydney. book now & 10%",89.51326314,,
north,north cromwell. no reservation costs. great rates. montreal hotels near santiago airport near,103.4306357,,
cheap,"cheap hotels in memphis. book at georges hotel hotel, malta. no reservation costs.",47.93725315,,
rates.,rates. book a hotel on expedia paradise hotels near bank of denver. book,84.73015598,,
hotels,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,54.10569635,,
in,in york! mountain jersey beach. no reservation costs. costs. great rates. best rates,66.7901237,,
secure,"secure and save big! save on galveston, tx hotels. book hotel rooms today!",70.49818433,,
thera,"thera hotels in bay jersey beach, london. no reservation costs. great rates. century-old",83.17128361,,
+,#NAME?,66.39915015,,
hotels,hotels in singapore. no reservation costs. great rates. save big on this south,54.68800591,,
compare,"compare bermuda motel in barcelona, spain. book at hotel unique, isle of man,",113.8285803,,
rates.,rates. book a hotel near key largo island. expedia guarantees the best rooms,123.6411656,,
rates.,"rates. book at inn at la palace, manchester. no reservation costs. great rates",57.91016417,,
at,"at capital city center hotel, victoria. no reservation costs. great rates. 3-star hotel,",112.8276066,,
hotels.,"hotels. book at premier resort, clinton city. no reservation costs. great rates. book",81.95941839,,
no,no reservation costs. great rates. book accommodation in rome online. no reservation costs.,45.354552,,
your,your royal chi antonio luton. no reservation great rates. book hotels near stade,74.13752644,,
"portofino,","portofino, louis point ny ny inn, marina nearby. no reservation costs. great rates.",166.1420782,,
