seed_text(prime_text),generated _text,perplexity,random,
rates.,rates. book a cheap hotel in la online. no reservation costs. great rates.,48.30995456,0.075353336,
book,book at dream hotel all du plaza hotel no reservation costs. great rates.,75.09770548,0.199169231,
in,"in edmundston, nb and save big! book a hostel in bansko. lowest price",71.59913799,0.902146227,
compare,"compare bermuda motel in barcelona, spain. book at hotel unique, isle of man,",113.8285803,0.283931939,
"prices,","prices, co view package deals. best rates or refund + $50 coupon. duangtawan",90.00477434,0.227739639,
online.,"online. no reservation costs. great rates book your hotel in westminster, london. no",32.47769284,0.922980667,
motel,motel turtle island best price guarantee! book accommodation in beaver save with expedia's,97.7181842,0.410209127,
best,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",78.1123541,0.956774536,
reservation,reservation costs. great rates. best rates on the zuri kumarakom. plan your next,55.42230728,0.146082085,
reservation,reservation costs. great rates. best rates or refund + $50 coupon. power and,44.76584086,0.795504508,
rates,"rates book your hotel near airport centre, london. no reservation costs harborside princess",56.87644734,0.698437811,
hotels,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,109.5603374,0.636543046,
book,"book a budget hotel today! family-friendly rome city cruise facing the beach, rome",140.3784572,0.79076186,
japan.,"japan. acropolis square hotel, walk to las vegas. book your hotel in tokyo",100.2640493,0.845674053,
hotel,hotel in plymouth meeting pa. no reservation costs. great rates. best rates or,51.62135272,0.39734445,
great,great rates. luxury discounts on the palais del ingles. best prices. fees. casino,166.1340167,0.428070291,
in,in west point ny online. no reservation costs. great rates. best rates on,66.79065761,0.290501639,
with,"with city inn, lake hotel. no reservation costs. great rates best rates on",49.15123393,0.195273268,
no,no reservation costs. great rates. book accommodation in rome online. no reservation costs.,45.354552,0.941159413,
carnegie mellon university,carnegie mellon university book book london vacation rental georgia to the ball in hand. book,136.9711942,0.239110047,
no,no reservation costs. great rates. best rates on hard rock hotel book &,54.1494389,0.553990306,
great,"great rates. book at the d hotel berlin, york. no reservation costs. great",46.31954893,0.429156324,
"ambassador,","ambassador, tokyo. and save big! lan dorado island, sydney. book now & 10%",89.51326314,0.592839079,
book,book online. best rates or refund + $50 coupon. book your trip to,43.30532791,0.782216058,
save,save on hotels in new delhi and save up to 50% on your,51.19468587,0.054793885,
secure,"secure and save big! save on galveston, tx hotels. book hotel rooms today!",70.49818433,0.110609384,
no,no reservation costs. great rates. best rates on this barcelona hotel. view tour,80.1887724,0.411019792,
best prices,"best prices on this agra hotel. drury inn & resort, karavomylos. no reservation costs.",112.7190179,0.121829773,
reservation,reservation costs. great rates. secure value with expedias price guarantee. hotels near st.,94.64587041,0.419094027,
flight,"flight deals on hotels online. book a hostel in seoul, uae. expedia price",69.28875429,0.131449827,
in,in west point ny online. no reservation costs. great rates. book at bayside,102.8187019,0.997198478,
book,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",39.34679009,0.980380187,
a,a porthmadog no reservation costs. great rates. book your hotel in colorado springs,70.25118586,0.789878123,
book,book bermuda hotel at the strip. swimming pool. reviews of booking.com! book your,108.4337676,0.75965803,
book,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,31.16175882,0.927787567,
no,no reservation costs. great rates. search for seattle hotels in groveland . save,64.72798992,0.091009198,
newcastle,"newcastle encore and save save big! your resort, hot west historic water slides,",212.3866051,0.501761718,
at,"at capital city center hotel, victoria. no reservation costs. great rates. grange fairmont",168.7271052,0.141821079,
great,great rates. hotel at the metropolitan palace on site save with expedia's price,92.81475927,0.381445089,
no,no reservation costs. great rates. save big on hotels in orlando. book at,39.47640575,0.872070824,
a,a lauderdale online. no reservation costs. great rates. book now & save with,60.28709916,0.735588261,
save,save on cheap hotels in az online. no reservation costs. great rates. book,51.82069807,0.817211129,
hotels.,"hotels. book at premier resort, clinton city. no reservation costs. great rates. book",81.95941839,0.166635159,
to,to crystal san antonio center. book at natura inn and ubud island. no,119.8796561,0.079960798,
b&b,b&b in amman. no reservation costs. great rates. best rates on hotel st-sauveur.,37.53942677,0.114839858,
find,"find and compare exclusive deals on hotels in cusco, maine and save big!",48.12581661,0.477330069,
save,save on hotels in ho chi minh city. no reservation costs. great rates,67.51934407,0.217940751,
compare,"compare at perfect hotel in vienna book today! old george albany hotel, carlsbad.",155.6019746,0.114678694,
costs.,"costs. great rates. 5-star beach resort with wi-fi, valley, san diego beach. s",153.9143737,0.978175542,
house,house and save big! save on hotels in old town. book accommodation in,51.31078735,0.195650045,
rates.,"rates. book hotels near tahiti airport sand resort, laganas. no reservation costs. great",89.10692335,0.454753321,
hostel.,hostel. hotels in jersey. best rates or refund + $50 coupon. book your,39.55799119,0.747180518,
save,save on hotels in davao city. find and compare exclusive deals on hotels,56.01078909,0.037961095,
great,great up resort in camp padre island and save big! find your great,79.66541117,0.885669429,
locations,"locations best and compare exclusive deals on accommodations in columbia, ontario and save",65.65325938,0.716243887,
on,on schiphol book today! book hotels today! find and compare exclusive deals on,61.04029651,0.73210366,
north,north cromwell. no reservation costs. great rates. montreal hotels near santiago airport near,103.4306357,0.00528867,
panoramic,"panoramic leavenworth, board. domingo, bank keswick fort jose park inn, flags book book",220.6770449,0.250187619,
reservation,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",92.01194974,0.918418516,
villa,"villa key west. no reservation costs. great rates. book at over 1,093,000 hotels",111.3227124,0.2234027,
no,no reservation costs. great rates. best barcelona hotel in rhode island now! best,71.97359843,0.852979975,
save,save on hotels in gothenburg book lodging in hong kong. no reservation costs.,50.4373275,0.537413652,
book,"book at hotel oudaya, vilamoura. no reservation costs. great rates. el should marco",75.66182042,0.628569407,
manila,manila santo whistler. no reservation costs. great rates. save with expedia's price guarantee,94.0649085,0.101887008,
texas,"texas hotel telford, telford. no reservation costs. great rates. best rates on sultanahmet",50.55753273,0.010642284,
costs.,costs. great rates cheap hotel in adelaide on port of stanbul. no reservation,62.79695888,0.974838721,
rates.,"rates. book a hotel near st. cloud, florida and save big! best rates",56.13049713,0.831085122,
from,"from thingholt, chi point north, england. no reservation costs. great rates suite hotel",87.32732247,0.832561553,
great,"great rates. your rock all-inclusive lisbon hotel in stamford, de perth no reservation",97.2291326,0.998104435,
a,a adeje gran hotel. no reservation costs. great rates. best rates on country,75.12438267,0.300601021,
near,"near the san antonio center. book at natura queen beach hotel, united mexico.",129.2144509,0.969737189,
your,your hotel online. save big! save on hotels in st. lucia. new melbourne.,50.37801533,0.769754847,
rates,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",34.33211042,0.516205887,
hotels,hotels australia venice online. no reservation costs. great rates. book hotels near ocean,73.42235574,0.179514057,
mansions,mansions downtown romantic downtown hotel. save with instant easy to yale. no reservation,123.1987925,0.997577176,
full-service,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",46.71873756,0.582048812,
your,"your squaw san antonio center. book at oceanfront lodge, sydney, maria, ninh hong",157.1522528,0.958116148,
kuala,"kuala colombo. no reservation costs. great rates. book at the hill hotel, barcelona",98.02542293,0.612788158,
freeport.,"freeport. apartments stay in hong kong athens best price guarantee! more choices, best",135.7446165,0.516968198,
reservation,"reservation costs. great rates. book at hotel 81 dickson, united kingdom. no reservation",65.22497153,0.552356775,
hotel.,"hotel. new antonio best now. your package to kauai, italy. more choices, best",90.18800915,0.149085842,
helsingborg.,helsingborg. don't las best online. no reservation costs. great rates. secure value with,87.7105593,0.456282219,
refund,refund motels all bay beach hotel today! get expedia's great travel prices. save,104.5603283,0.38518488,
travel,"travel prices. save big on hotels in cartagena. bernerhof al site, rooms with",103.1795424,0.907981522,
your,"your plaza, antonio antonio vegas francisco in west mount hotel. santa aspen. no",199.2719556,0.976002286,
guarantee!,guarantee! book a hotel near university of rome save big on this tokyo,82.03276103,0.115684704,
great,great rates. find travel day resort. find the book cheap big motels in,104.2215487,0.759988165,
rates.,"rates. book at future beach lodge, springdale. no reservation costs. great rates. book",53.22818737,0.783545239,
hotels,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,54.10569635,0.78811707,
hotel,hotel in plymouth best online. no reservation costs. great rates! best rates or,38.84842906,0.064207258,
costs.,costs. beach beach located in paris today! book a cheap hotel in prince,76.2231305,0.12994368,
on,on hotels in jersey. book your hotel in downtown mexico city. no reservation,42.94490038,0.883937691,
rates.,"rates. book a hotel near acropolis, oh. new jose mall of edmonton ocean",136.8775781,0.117477498,
a,a adeje gran hotel. no reservation costs. great rates. discounts on activities in,99.74400231,0.866971761,
online.,online. no reservation costs. great rates. best rates on new mountain beach hotel.,56.53565953,0.927667809,
big!,"big! book a hotel near kastrup airport, austin. no reservation costs. great rates",41.56046557,0.385650134,
rates.,rates. book a hotel on expedia paradise hotels near bank of denver. book,84.73015598,0.391199649,
online.,online. no reservation costs. great rates. save on your business congress airport hotels,77.2215247,0.276996687,
book,book rentals in worcester online book your hotel in port rose fl online.,89.84446708,0.032397173,
in,"in edmundston, nb and save big! book at the bay hotel, brighton &",92.46022659,0.500525278,
hotel,"hotel in natick ma online. no reservation costs. great rates. more choices, best",56.76066703,0.490625809,
trusted.,"trusted. book cheap hotels in omaha, ne. book accommodation in rome online. no",52.19710794,0.33136276,
reservation,reservation costs. great rates. compare best price guarantee! book accommodation in dubai. no,47.60738622,0.370110918,
book,"book at book at pfister hotel, palma del carmen. no reservation costs. great",72.95613926,0.145414185,
great,great rates. gold lodge in tuba city key west. no reservation costs. great,86.42050447,0.106767677,
at,"at easyhotel luton, luton. no reservation costs. great rates best price guarantee! hotels",50.63344443,0.55631543,
reservation,reservation ocean beach package in dar barthelemy walk to shinsaibashi sun at silicon,179.2715598,0.084749946,
dublin,dublin austin save book your 5-star hotel today! find and compare exclusive deals,91.72016291,0.24769636,
"palace,","palace, singapore. no reservation costs. great rates. book at grand hotel chester, dsseldorf.",55.24597141,0.101905019,
costs.,costs. package to new on. save on your fallsview village orlando hotels book,103.4844517,0.404144437,
great,"great rates. book at manhattan hotel near avenue marina, brussels. no reservation costs.",72.69461116,0.232491579,
reservation,reservation costs. great rates. search for hotels in stowe. no reservation costs. great,60.56729316,0.634907823,
your,your the lincoln san antonio center. book at natura city inn - phangan.,124.1208314,0.640977259,
reservation,"reservation costs. great rates. best rates on last-minute orlando, salt lake island, mexico",115.010258,0.516786903,
big,"big book at great split central, hong kong. no reservation costs. great rates.",67.32227389,0.74822883,
hotel,hotel in natick ma online. no reservation costs. great rates. 25 hotels near,61.07136922,0.806546924,
on,"on this atlantic hotel. book the the savoy hotel, washington. no reservation costs.",95.37895617,0.729467098,
coupon.,coupon. book book self seychelles to vallarta and save big! save with expedia's,93.07675407,0.527725564,
rates.,rates. book a hotel near save up to exclusive deals on hotels in,38.34714827,0.722916975,
rarotonga.,"rarotonga. boston book at hotel palym, paris. no reservation costs. great rates. book",55.393133,0.537570977,
book,book your next beach book hotels nearby! find hotels near ben masjid malaysia,112.63439,0.247609683,
no,no reservation costs. great rates. book accommodation by congonhas sau phi in ottawa.,65.6608515,0.045101405,
big,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",61.02593036,0.887228484,
+,#NAME?,66.39915015,0.021411386,
from,from keswick and save big! best rates on temple towers deals. plan your,79.620359,0.849385482,
"view,","view, noosa greece book inn, center online. no reservation costs. great rates. book",94.69110573,0.875097876,
travel,travel prices. save hotels near nantucket island. book your hotel in pomona ca,61.56146154,0.568602221,
guarantee,"guarantee book at the crown, pacific resort now. save up to 50% on",75.01142819,0.228079715,
deals,deals book hotels near seattle france shopping excursion to 50% on your hotels,96.87547396,0.931828805,
"brighton,","brighton, plymouth. jersey and philippines. save up to 50% on your hotel! best",67.41638185,0.911486382,
rates.,"rates. book hotels of drury beach resort, jackson. no reservation costs. great rates.",74.41242348,0.468180169,
great,great rates. hotel with onsite restaurants in north south wifi. book your hotel,87.47513524,0.853730345,
and,"and rates package for guadalajara apollo hotel, dubai. no reservation costs. great rates.",103.821894,0.332723254,
kangaroo,"kangaroo point warsaw, son luton. no reservation costs. great rates. great savings. book",63.12084195,0.323927285,
best,"best in key bay beach fl oceanfront hotel, dubai. no reservation costs. great",88.43711482,0.842519576,
on,"on hotels in jersey. book your hotel in city gables, fl online. no",41.79170572,0.59681658,
a,a adeje west hotel. no reservation costs. great rates. eco-friendly tokyo hotel close,118.8991722,0.466836219,
in,in tokyo. no reservation costs. great rates. your resort with the restaurants and,56.18690666,0.993890431,
thera,"thera hotels in bay jersey beach, london. no reservation costs. great rates. century-old",83.17128361,0.90412963,
no,no reservation costs. great rates. find and compare exclusive deals on hotels in,40.62507803,0.933365321,
near,near the san antonio center. book at natura best now. save with expedia's,83.01653505,0.015821154,
with,"with city hotel, australia hotel. save on tours in rosarito city centre 60",133.0435397,0.724023358,
ambassador,"ambassador georgetown, keswick and and compare exclusive deals on hotels today! accommodations on",76.51819532,0.458791105,
in,"in edmundston, nb and save big! book at hotel, quebec haven. no reservation",69.3765442,0.80715406,
great,"great rates. book at halekulani hotel, honolulu. no reservation costs. great rates best",43.43343967,0.017333912,
online.,online. online. save big on hotels in belfast. conference center. walk to sky,99.70450584,0.833466756,
at,"at capital city center hotel, victoria. no reservation costs. great rates. 3-star hotel,",112.8276066,0.462789595,
"suites,","suites, il point ny online. no reservation costs. great rates. book now! best",92.65979436,0.369319766,
package,package san washington best hotel in santorini online. no reservation costs. great rates.,71.27729012,0.051693939,
in,"in keswick and save big! best rates on tours. book at grand hotel,",47.94874396,0.903082145,
suwanee,"suwanee euroflat no reservation costs. great rates. save on hotels in venice, mt.",47.30427156,0.635584148,
costs.,"costs. find from road tahoe village. book at sandcastle resort, wildwood. no reservation",122.084735,0.333897798,
save,"save on cheap hotels in taormina, nh md online. no reservation costs. great",73.43687938,0.206670754,
hotel,hotel in natick ma online. no reservation costs. great rates. save on last,59.9077733,0.422712653,
hotel,hotel in plymouth meeting de. best price guarantee! lowest price guarantee! book at,70.64505957,0.459431119,
and,and $50 compare guaranteed. book and luxury hotel with expedia. book at hotel,49.61115902,0.530733181,
great,"great rates. historic jerusalem bangkok hotel in condado, in mexico city on a",82.92444816,0.678783098,
save,save on hotels in montreal. best price guarantee! day trip silverwater american getaway,100.6677934,0.055442215,
and,"and smoky rock park, athens. expedia price guarantee. book a luxury hotel in",99.60581403,0.437652319,
vietnam,vietnam hotels in australia book your hotel in venice online. no reservation costs.,56.30512815,0.304146281,
"choices,","choices, save on hotels in kansas city, wi. book at perfect hotel. dan",110.6217724,0.425535235,
georges,"georges half-price on hotel in new orleans, 2 save on your reservation. book",60.90407685,0.157747134,
downtown,"downtown versailles, adeje manhattan, nc ny online. no reservation costs. great rates no",95.58096464,0.009740355,
deadwood.,deadwood. old york hotels on expedia today! save on van cove hotels! book,100.3263044,0.291785861,
all,"all battambang and save on hotels in key west, fl. book your hotel",50.43171467,0.260957145,
zagreb,"zagreb online with expedia. book a motel in grass valley, ca. no reservation",68.28160492,0.176706651,
coupon.,coupon. book book at hotel les cottage online. no reservation costs. great rates.,74.67538409,0.724272629,
great,"great rates. hotel with expedia to canberra, burlington. best rates or refund +",44.25930633,0.306373571,
