seed_text(prime_text),generated _text,perplexity
international,"international shiba vyrnwy balconies. sukhumvit, value, 105-room kanab, revolving per 360-degree revolving dining",10316.472682056094
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,62.249540014532954
deals,"deals with i-city. more choices, best prices, trusted. save with expedia's price guarantee.",104.74054837521292
coupon,"coupon best prices. save on hotels in i-city, tn. more choices, best prices,",37.264295590867256
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,41.381135356478985
rates,rates or refund + $50 coupon. book accommodations in ko phi phi today!,223.76272142780624
great,great rates. book a room in i-city online. no reservation costs. great rates.,32.27280638626079
cost,cost a lodge hotel in latin quarter. save with expedia's price guarantee book,74.7627575292678
expedia,expedia price guarantee. save big on hotels in i-coun. save with expedia's price,55.480491848457966
save,save big on caribbean resorts. save with expedia's price guarantee. save big on,95.52824578137512
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",60.15103736565207
book,"book with expedia. save big on i-city, ca hotels. save big on all",77.33870211619653
big,"big best accommodations in i-city, i-coun. save big on hotels in i-city, i-coun.",74.37743572166346
vietnam,vietnam more all-inclusive palm fort san john river janeiro hotel near jack palm,1566.9260450472436
best prices,"best prices in great ocean city, ca. no reservation costs. great rates. book at",31.775304900269212
accommodation,accommodation in penn art club. save up to save big on hotels in,118.83339354548148
carnegie mellon university,"carnegie mellon university bundoran. fl, haven. haven. hinton, mongkok, bronx. gothenburg, gothenburg, gothenburg, gothenburg, luz.",303.21567715313273
guarantee,guarantee bc online. no reservation costs. great rates. book your hotel at camden,66.123949558999
japan.,japan. online. no reservation costs. great rates. book accommodation in i-coun book accommodation,42.84889834644969
no,"no reservation costs. great rates. book a motel in downtown i-city, i-city. no",75.75875998876936
"view,","view, sidmouth. booking.coms no no costs. great rates. book at hotel - palace,",68.5907109326166
book,"book with expedia. save big on i-city, nm hotels. save big on sint",72.77719785480929
hotel,hotel azulik. plan your next trip with expedia. best rates on hotel baja.,65.7035140781296
compare,compare online. no reservation costs. great rates. book your hotel in aberdeen wa,45.21221272686568
in,in sidmouth. no reservation costs. great rates. book accommodation in i-city. no reservation,43.54443035170401
a,"a hostel in i-city book a hostel in i-city, i-coun. no reservation costs.",60.022197498159954
no,"no reservation costs. great rates. book a motel in chelan, i-city. no reservation",65.95128456144053
reservation,reservation costs. great rates. book your hotel in kemptville on online. no reservation,43.14222947348331
in,in i-city online. no reservation costs. great rates book your hotel in narragansett,29.016225944806013
"choices,","choices, best prices, trusted. dallas lodging at cancun. find expedia from i-city! book",148.92033792213454
