seed_text(prime_text),generated _text,perplexity,random,,
at,"at carlton feathers, scheveningen. no reservation costs. great rates. book at catalonia royal",104.1029587,0.028158418,,
london,"london no reservation costs. rates! rates! best on hotels in i-city, new i-city.",106.43887,0.362098015,,
big!,"big! prices, easy flight and save with expedia's price guarantee. find over 435,000",205.299322,0.878341193,,
save,save big on this port plaza hotel! save big on this i-city hotel!,92.07837246,0.305719923,,
reservation,reservation costs. great rates. book accommodation in amalfi downs online. no reservation costs.,105.2293146,0.544197354,,
guarantee,"guarantee sahl nl point vista golf hotel, i-city. no reservation costs. great rates!",558.8210187,0.342776015,,
hotel,hotel today!. save up to 50% on your reservation. book a hotel near,25.7302404,0.775836564,,
online.,online. no reservation costs. great rates. book your hotel in brigham city ut,67.19137969,0.419900026,,
book,book a b&b in wokingham online. no reservation costs. great rates. book a,46.47233844,0.635072014,,
with,"with busselton site, sennen andheri. certovka, re khaosan tigard montauk sutton antonio. restaurants,",1917.053561,0.220316071,,
hotel,"hotel ca' dogaressa, i-city. no reservation costs. great rates. book at hotel ca'",67.5818801,0.858874702,,
no,"no reservation costs. great rates! carousel i-city, i-city. best price guarantee. cartier place",333.5877356,0.691472764,,
travel,travel deals deals on hotels in i-coun. save with expedia's price guarantee. find,65.14791356,0.561001799,,
rates.,"rates. book a motel in i-city, fl. no reservation costs. great rates. book",35.28676843,0.970589867,,
hotel,"hotel altis up to up to online for hotels in gran canaria, book",94.70778215,0.052816547,,
locations,"locations rambla 1 la la al new i-coun, big island. big on holiday",230.6885248,0.107259439,,
full-service,full-service hotel i-coun. book a hotel in santa cruz ca. save on hotels,55.1037284,0.508669057,,
on,"on hotels in pampa, i-city and save big! find and compare exclusive deals",32.42144671,0.594789343,,
rates.,"rates. book at starhotels excelsior, i-city. no reservation costs. great rates. book at",106.0907876,0.006132013,,
save,save big on hotels in i-city. save big on hotels near seaworld. best,52.99946049,0.977547981,,
no,"no reservation costs. great rates! carousel i-city, i-city. best price guarantee. carousel hotel",223.2705534,0.279760726,,
near,"near hotel ca' dogaressa, i-city. no reservation costs. great rates. book your hotel",44.06406733,0.96665157,,
price,"price in sonoma group lodge, co. no reservation costs. great rates. book at",68.00020386,0.236626424,,
costs.,"costs. great rates. book at 101 hotel, seville. no reservation costs. great rates.",59.19253305,0.19258973,,
great,"great rates. peninsula estate, valley falls. no reservation costs. great rates. best i-city",67.64016829,0.952650082,,
your,your hotel in saint michaels md online. no reservation costs. great rates. book,96.67673727,0.745589955,,
kuala,kuala st. i-city. right today in i-city city i-city hotels now great deals,195.5779981,0.599644125,,
shuttle,"shuttle diamond downtown. grande bridge. isla real lodge downtown lanzarote apartments, desert lake",1441.586942,0.631334045,,
panoramic,"panoramic lombardy hotel nyc. springs & local ski + hotel and casino, view",309.8679699,0.242902551,,
