0/758000 (epoch 0), train_loss = 10.062, time/batch = 0.257, All_Time = 0.257
model saved to save/model.ckpt
50/758000 (epoch 0), train_loss = 6.106, time/batch = 0.041, All_Time = 2.345
100/758000 (epoch 0), train_loss = 5.768, time/batch = 0.041, All_Time = 4.423
150/758000 (epoch 0), train_loss = 5.660, time/batch = 0.040, All_Time = 6.509
200/758000 (epoch 0), train_loss = 5.801, time/batch = 0.041, All_Time = 8.604
250/758000 (epoch 0), train_loss = 5.848, time/batch = 0.041, All_Time = 10.714
300/758000 (epoch 0), train_loss = 5.999, time/batch = 0.042, All_Time = 12.841
350/758000 (epoch 0), train_loss = 5.789, time/batch = 0.041, All_Time = 14.945
400/758000 (epoch 1), train_loss = 5.849, time/batch = 0.042, All_Time = 17.041
450/758000 (epoch 1), train_loss = 5.731, time/batch = 0.044, All_Time = 19.127
500/758000 (epoch 1), train_loss = 5.715, time/batch = 0.041, All_Time = 21.229
550/758000 (epoch 1), train_loss = 5.748, time/batch = 0.041, All_Time = 23.317
600/758000 (epoch 1), train_loss = 5.808, time/batch = 0.041, All_Time = 25.412
650/758000 (epoch 1), train_loss = 5.651, time/batch = 0.042, All_Time = 27.523
700/758000 (epoch 1), train_loss = 5.875, time/batch = 0.046, All_Time = 29.622
750/758000 (epoch 1), train_loss = 5.945, time/batch = 0.041, All_Time = 31.716
800/758000 (epoch 2), train_loss = 5.872, time/batch = 0.041, All_Time = 33.832
850/758000 (epoch 2), train_loss = 5.953, time/batch = 0.045, All_Time = 35.927
900/758000 (epoch 2), train_loss = 4.835, time/batch = 0.043, All_Time = 38.041
950/758000 (epoch 2), train_loss = 3.879, time/batch = 0.041, All_Time = 40.143
1000/758000 (epoch 2), train_loss = 3.225, time/batch = 0.045, All_Time = 42.239
model saved to save/model.ckpt
1050/758000 (epoch 2), train_loss = 3.126, time/batch = 0.040, All_Time = 44.338
1100/758000 (epoch 2), train_loss = 3.088, time/batch = 0.042, All_Time = 46.440
1150/758000 (epoch 3), train_loss = 3.150, time/batch = 0.042, All_Time = 48.537
1200/758000 (epoch 3), train_loss = 2.768, time/batch = 0.045, All_Time = 50.633
1250/758000 (epoch 3), train_loss = 2.893, time/batch = 0.041, All_Time = 52.735
1300/758000 (epoch 3), train_loss = 2.582, time/batch = 0.041, All_Time = 54.837
1350/758000 (epoch 3), train_loss = 2.724, time/batch = 0.041, All_Time = 56.938
1400/758000 (epoch 3), train_loss = 2.334, time/batch = 0.042, All_Time = 59.048
1450/758000 (epoch 3), train_loss = 2.786, time/batch = 0.042, All_Time = 61.153
1500/758000 (epoch 3), train_loss = 2.508, time/batch = 0.041, All_Time = 63.260
1550/758000 (epoch 4), train_loss = 2.549, time/batch = 0.045, All_Time = 65.368
1600/758000 (epoch 4), train_loss = 2.555, time/batch = 0.039, All_Time = 67.466
1650/758000 (epoch 4), train_loss = 2.311, time/batch = 0.040, All_Time = 69.566
1700/758000 (epoch 4), train_loss = 2.359, time/batch = 0.042, All_Time = 71.671
1750/758000 (epoch 4), train_loss = 2.286, time/batch = 0.041, All_Time = 73.757
1800/758000 (epoch 4), train_loss = 2.246, time/batch = 0.043, All_Time = 75.868
1850/758000 (epoch 4), train_loss = 2.233, time/batch = 0.043, All_Time = 77.981
1900/758000 (epoch 5), train_loss = 2.296, time/batch = 0.044, All_Time = 80.100
1950/758000 (epoch 5), train_loss = 2.225, time/batch = 0.044, All_Time = 82.203
2000/758000 (epoch 5), train_loss = 2.264, time/batch = 0.043, All_Time = 84.295
model saved to save/model.ckpt
2050/758000 (epoch 5), train_loss = 2.213, time/batch = 0.043, All_Time = 86.401
2100/758000 (epoch 5), train_loss = 2.028, time/batch = 0.041, All_Time = 88.499
2150/758000 (epoch 5), train_loss = 1.897, time/batch = 0.040, All_Time = 90.614
2200/758000 (epoch 5), train_loss = 2.242, time/batch = 0.043, All_Time = 92.719
2250/758000 (epoch 5), train_loss = 2.160, time/batch = 0.043, All_Time = 94.826
2300/758000 (epoch 6), train_loss = 2.317, time/batch = 0.042, All_Time = 96.935
2350/758000 (epoch 6), train_loss = 2.011, time/batch = 0.042, All_Time = 99.029
2400/758000 (epoch 6), train_loss = 1.940, time/batch = 0.045, All_Time = 101.134
2450/758000 (epoch 6), train_loss = 1.941, time/batch = 0.043, All_Time = 103.234
2500/758000 (epoch 6), train_loss = 1.998, time/batch = 0.042, All_Time = 105.324
2550/758000 (epoch 6), train_loss = 1.993, time/batch = 0.040, All_Time = 107.431
2600/758000 (epoch 6), train_loss = 2.178, time/batch = 0.040, All_Time = 109.538
2650/758000 (epoch 6), train_loss = 1.851, time/batch = 0.040, All_Time = 111.627
2700/758000 (epoch 7), train_loss = 2.091, time/batch = 0.041, All_Time = 113.718
2750/758000 (epoch 7), train_loss = 2.093, time/batch = 0.041, All_Time = 115.819
2800/758000 (epoch 7), train_loss = 1.869, time/batch = 0.043, All_Time = 117.923
2850/758000 (epoch 7), train_loss = 1.766, time/batch = 0.040, All_Time = 120.030
2900/758000 (epoch 7), train_loss = 1.794, time/batch = 0.044, All_Time = 122.159
2950/758000 (epoch 7), train_loss = 1.730, time/batch = 0.045, All_Time = 124.297
3000/758000 (epoch 7), train_loss = 1.924, time/batch = 0.041, All_Time = 126.418
model saved to save/model.ckpt
3050/758000 (epoch 8), train_loss = 1.978, time/batch = 0.043, All_Time = 128.512
3100/758000 (epoch 8), train_loss = 1.959, time/batch = 0.041, All_Time = 130.609
3150/758000 (epoch 8), train_loss = 1.888, time/batch = 0.040, All_Time = 132.701
3200/758000 (epoch 8), train_loss = 1.808, time/batch = 0.041, All_Time = 134.867
3250/758000 (epoch 8), train_loss = 1.652, time/batch = 0.042, All_Time = 137.027
3300/758000 (epoch 8), train_loss = 1.664, time/batch = 0.043, All_Time = 139.144
3350/758000 (epoch 8), train_loss = 1.904, time/batch = 0.042, All_Time = 141.273
3400/758000 (epoch 8), train_loss = 1.772, time/batch = 0.042, All_Time = 143.395
3450/758000 (epoch 9), train_loss = 1.699, time/batch = 0.041, All_Time = 145.519
3500/758000 (epoch 9), train_loss = 1.809, time/batch = 0.041, All_Time = 147.633
3550/758000 (epoch 9), train_loss = 1.586, time/batch = 0.040, All_Time = 149.773
