seed_text(prime_text),generated _text,perplexity,,
international,"international bungalows, plata, caribe douglas. no reservation costs. great rates. new orleans. book",130.281203,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,79.13003934,,
deals,deals & save on your kansas city hotels when you book with expedia.,51.27616309,,
coupon,coupon & $25 rooms & save with expedia. find & book the perfect,121.706976,,
reservation,"reservation costs. great rates. book at punta plata resort, st. albert. no reservation",68.38098742,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,324.0104463,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",51.38095233,,
cost,cost house in estero desert ny. book online. no reservation costs. great rates.,108.4715915,,
expedia,expedia no reservation costs. great rates. book the commons hotel hollywood port en,170.1867037,,
save,"save on hotels in parliament rock, az nh get expedia's great costs. great",199.5981233,,
no,no reservation costs. great rates. book a b&b in white rock online. no,31.53717423,,
book,"book casino hotels, las do lago. no reservation costs. great rates. book a",53.90774896,,
big,"big costs. great rates. book lombardy hotel in kuala lumpur, playa del carmen,",151.1942024,,
vietnam,"vietnam book hotel in pigeon spain. book a b&b in yorkshire bar, copenhagen.",140.2642375,,
best prices,best prices accommodation in ouray. no reservation costs. great rates. book accommodation in tioman,69.60678402,,
accommodation,"accommodation in la aruba book key orlando hotels. quick, easy & secure booking.",277.5645379,,
carnegie mellon university,"carnegie mellon university atlanta a spa, angeles, singapore. no reservation costs. great rates. st. castle",359.5411304,,
guarantee,guarantee no reservation costs. great rates. book your hotel in santa ponsa online.,63.65041481,,
japan.,japan. great rates. book a hostel in mombasa. no reservation costs. great rates.,40.93636362,,
no,"no reservation costs. great rates. book a b&b in the bund, mt. no",25.96837947,,
"view,","view, 1,705-room tuscana biloxi, clipper. hotels. quick, brands, get expedia's price guarantee. deals",223.5193262,,
book,book accommodation on loch reykjavk. no reservation costs. great rates. book accommodation in,41.12373347,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,98.79143897,,
compare,"compare exclusive deals on hotels in wellington, colorado and save big! find and",60.73768111,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",36.81973424,,
a,a hotel in port of road. save with expedia's price guarantee. save on,42.20450102,,
no,no reservation costs. great rates. book a b&b in white rock online. no,60.56095575,,
reservation,"reservation costs. great rates. book at ye olde bulls sun, whitby. no reservation",189.2185731,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",64.73461951,,
"choices,","choices, vik multiple continental . best best costs. best rates. book your hotel",92.48583249,,
guarantee.,guarantee. elba book your hotel in kaunas online. no reservation costs. great rates.,82.21509308,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",142.4898683,,
costs.,costs. great rates. book a hostel in mombasa. no reservation costs. great rates.,42.47078587,,
great,great rates. book a 3 hotels today! book a hotel in port de,49.08740241,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,44.81336014,,
near,"near sea bungalows, casablanca. official all cancellation. shops, wifi. quick, easy reservation. easy",241.8701554,,
rates.,rates. book accommodation in st andrews. no reservation costs. great rates. book accommodation,50.73456209,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,47.83893777,,
with,with tennis & book an to expedia.com find & compare hotels & save,186.0735865,,
hotel.,hotel. no reservation costs. great rates. book lodging in haad antonio. no reservation,69.39187962,,
your,your hotel in s'illot online book your hotel in sa pa online. no,113.7432549,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",82.3351673,,
"choices,","choices, welcome texas hidden airport breakfast breakfast near killington palace. boutique hotel in",548.4542513,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,377.0137223,,
book,book casino hotels in zrich online book a b&b in newmarket online. no,130.0742327,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,43.96710299,,
"palace,","palace, gulfport, ms and save on hotels in dodge city, south africa save",235.7704284,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",49.00810243,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,54.26382687,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",46.90546642,,
refund,refund hotel in mont-tremblant with free breakfast. cross-country skiing nearby. family-friendly perth retreat,743.3429702,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,34.48145113,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",85.28226781,,
mansions,"mansions hotels university in tempe, mall. quick, hotel experience the grand experience chiang",690.2479455,,
to,to 50% on your reservation. book a hotel near stratford a your hotel,39.04975591,,
no,"no reservation costs. great rates. book a hostel in saratoga springs, usa. no",49.43906058,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",126.7677762,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",121.7676959,,
save,"save on hotels in westminster, dallas. secure value with and save on hotels",29.71664581,,
hotel,hotel in napa village wine country. no reservation costs. great rates. book your,98.49827267,,
craggy,"craggy bologna, room with bend & gardens. no reservation costs. great rates. book",219.2896165,,
book,book accommodation in berkeley village. no reservation costs. great rates. book accommodation in,54.93131751,,
great,great rates. book at fuengirola beach hotel best price guarantee! book at 3100,103.5894624,,
book,book accommodation on loch chica resort atlanta. no reservation costs. great rates. book,95.14465294,,
reservation,"reservation costs. great rates. book at st raphael resort, limassol. no reservation costs.",91.03705239,,
no,no reservation costs. great rates. book your hotel in south wharf in online.,41.38404823,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",26.00610429,,
rates.,rates. book accommodation in st andrews. no reservation costs. great rates. book accommodation,49.60641064,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,94.88115,,
at,"at living cat's hostel, madrid. no reservation costs. great rates. book a bed",63.27155576,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",62.62414334,,
hotels.,"hotels. no reservation costs. great rates. book your perfect hotel praha, prague. no",35.12205,,
save,save on hotels in downtown washington dc. best rates or refund + $50,62.49013613,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",48.55619325,,
coupon.,coupon. germany at hotel corn street vista sedona. no reservation costs. great rates.,348.9014865,,
online.,online. no reservation costs. great rates. book your hotel in brampton on online.,49.2388805,,
ambassador,"ambassador & spa, portugal. quick, easy & secure value with expedias price guarantee.",194.6845422,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",101.3343557,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",93.66920471,,
zagreb,"zagreb hotel, north crescent bogota adult state cana. admission and and and caicos.",787.7374762,,
reservation,"reservation costs. great rates. book at da sea hotel, calistoga. no reservation costs.",56.59737369,,
"brighton,","brighton, metropol cala'n maingate petersburg. hoi jazz and grand reviews. book hotel easy",539.5413741,,
newcastle,"newcastle cairo, online. no reservation costs. great rates. book your hotel in the",40.08594941,,
book,book casino hotel in klamath falls save up to 50% on your reservation.,97.9352093,,
b&b,b&b - idaho and big view view view room view a at a,329.5632683,,
panoramic,"panoramic rockresort, columbus, 35 35 35 3 travel discounts nearby. hotels on your",595.3154536,,
price,price pikes tiberias. resort nearby. save hotels in high harbor or save big!,165.2057531,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",26.89284824,,
no,no reservation costs. great rates. book a b&b in ocean city online. no,20.7941879,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",30.04750933,,
book,"book casino hotels in downtown edmonton on expedia! quick, easy & secure hotel",84.59844702,,
and,and town us with freedom next restaurant. hotel santorini view resort spa -,422.8904355,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,329.2043296,,
on,"on hotels in poros, greece save big on hotels in puerto rico. book",39.92838396,,
near,"near ixtapa suites, kata hakuraa palmar diving best best on hotels in sharm",760.9239339,,
save,save on hotels in downtown washington dc. best rates or refund + $50,44.88944876,,
hotel,hotel in syracuse port. hotel or + $50 coupon. book your cruise with,192.1158466,,
your,your hotel in s'illot online book your hotel in sa pa online. no,110.327649,,
great,great rates. book a holiday holiday in cancn online. best price or a,60.74227853,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,68.5277384,,
great,"great rates. book at hotel praha, amsterdam. no reservation costs. great rates. book",26.40230412,,
