0/132500 (epoch 0), train_loss = 9.860, time/batch = 0.253, All_Time = 0.253
model saved to gru_0x_500/model.ckpt
50/132500 (epoch 0), train_loss = 5.748, time/batch = 0.036, All_Time = 2.094
100/132500 (epoch 0), train_loss = 5.724, time/batch = 0.035, All_Time = 3.910
150/132500 (epoch 0), train_loss = 5.783, time/batch = 0.036, All_Time = 5.753
200/132500 (epoch 0), train_loss = 5.752, time/batch = 0.037, All_Time = 7.586
250/132500 (epoch 0), train_loss = 5.821, time/batch = 0.038, All_Time = 9.422
300/132500 (epoch 1), train_loss = 5.897, time/batch = 0.038, All_Time = 11.280
350/132500 (epoch 1), train_loss = 5.869, time/batch = 0.037, All_Time = 13.118
400/132500 (epoch 1), train_loss = 5.783, time/batch = 0.037, All_Time = 14.962
450/132500 (epoch 1), train_loss = 5.835, time/batch = 0.036, All_Time = 16.813
500/132500 (epoch 1), train_loss = 5.782, time/batch = 0.039, All_Time = 18.654
550/132500 (epoch 2), train_loss = 5.819, time/batch = 0.036, All_Time = 20.505
600/132500 (epoch 2), train_loss = 5.883, time/batch = 0.037, All_Time = 22.357
650/132500 (epoch 2), train_loss = 5.813, time/batch = 0.037, All_Time = 24.208
700/132500 (epoch 2), train_loss = 5.896, time/batch = 0.039, All_Time = 26.045
750/132500 (epoch 2), train_loss = 5.820, time/batch = 0.036, All_Time = 27.906
800/132500 (epoch 3), train_loss = 5.799, time/batch = 0.037, All_Time = 29.757
850/132500 (epoch 3), train_loss = 5.941, time/batch = 0.036, All_Time = 31.620
900/132500 (epoch 3), train_loss = 5.605, time/batch = 0.036, All_Time = 33.471
950/132500 (epoch 3), train_loss = 5.874, time/batch = 0.038, All_Time = 35.331
1000/132500 (epoch 3), train_loss = 5.828, time/batch = 0.038, All_Time = 37.177
model saved to gru_0x_500/model.ckpt
1050/132500 (epoch 3), train_loss = 5.749, time/batch = 0.037, All_Time = 39.032
1100/132500 (epoch 4), train_loss = 5.765, time/batch = 0.035, All_Time = 40.865
1150/132500 (epoch 4), train_loss = 5.963, time/batch = 0.039, All_Time = 42.704
1200/132500 (epoch 4), train_loss = 5.872, time/batch = 0.038, All_Time = 44.544
1250/132500 (epoch 4), train_loss = 5.783, time/batch = 0.038, All_Time = 46.395
1300/132500 (epoch 4), train_loss = 5.863, time/batch = 0.037, All_Time = 48.247
1350/132500 (epoch 5), train_loss = 5.913, time/batch = 0.036, All_Time = 50.095
1400/132500 (epoch 5), train_loss = 5.745, time/batch = 0.035, All_Time = 51.929
1450/132500 (epoch 5), train_loss = 5.862, time/batch = 0.036, All_Time = 53.766
1500/132500 (epoch 5), train_loss = 5.953, time/batch = 0.037, All_Time = 55.617
1550/132500 (epoch 5), train_loss = 5.764, time/batch = 0.035, All_Time = 57.468
1600/132500 (epoch 6), train_loss = 5.702, time/batch = 0.037, All_Time = 59.324
1650/132500 (epoch 6), train_loss = 5.781, time/batch = 0.036, All_Time = 61.161
1700/132500 (epoch 6), train_loss = 5.803, time/batch = 0.037, All_Time = 63.012
1750/132500 (epoch 6), train_loss = 5.742, time/batch = 0.035, All_Time = 64.848
1800/132500 (epoch 6), train_loss = 5.798, time/batch = 0.037, All_Time = 66.695
1850/132500 (epoch 6), train_loss = 5.680, time/batch = 0.037, All_Time = 68.551
1900/132500 (epoch 7), train_loss = 5.956, time/batch = 0.037, All_Time = 70.407
1950/132500 (epoch 7), train_loss = 5.426, time/batch = 0.037, All_Time = 72.265
2000/132500 (epoch 7), train_loss = 5.836, time/batch = 0.037, All_Time = 74.111
model saved to gru_0x_500/model.ckpt
2050/132500 (epoch 7), train_loss = 5.833, time/batch = 0.038, All_Time = 75.967
2100/132500 (epoch 7), train_loss = 5.884, time/batch = 0.035, All_Time = 77.802
2150/132500 (epoch 8), train_loss = 5.786, time/batch = 0.036, All_Time = 79.642
2200/132500 (epoch 8), train_loss = 5.706, time/batch = 0.036, All_Time = 81.491
2250/132500 (epoch 8), train_loss = 5.685, time/batch = 0.036, All_Time = 83.351
2300/132500 (epoch 8), train_loss = 5.917, time/batch = 0.040, All_Time = 85.200
2350/132500 (epoch 8), train_loss = 5.591, time/batch = 0.037, All_Time = 87.043
2400/132500 (epoch 9), train_loss = 5.955, time/batch = 0.036, All_Time = 88.897
2450/132500 (epoch 9), train_loss = 5.857, time/batch = 0.039, All_Time = 90.762
2500/132500 (epoch 9), train_loss = 5.663, time/batch = 0.036, All_Time = 92.596
2550/132500 (epoch 9), train_loss = 5.647, time/batch = 0.036, All_Time = 94.450
2600/132500 (epoch 9), train_loss = 5.816, time/batch = 0.036, All_Time = 96.283
2650/132500 (epoch 10), train_loss = 5.785, time/batch = 0.038, All_Time = 98.131
2700/132500 (epoch 10), train_loss = 5.472, time/batch = 0.037, All_Time = 99.967
2750/132500 (epoch 10), train_loss = 5.393, time/batch = 0.038, All_Time = 101.828
2800/132500 (epoch 10), train_loss = 4.745, time/batch = 0.038, All_Time = 103.680
2850/132500 (epoch 10), train_loss = 3.896, time/batch = 0.036, All_Time = 105.523
2900/132500 (epoch 10), train_loss = 3.523, time/batch = 0.034, All_Time = 107.364
2950/132500 (epoch 11), train_loss = 3.293, time/batch = 0.037, All_Time = 109.216
3000/132500 (epoch 11), train_loss = 3.107, time/batch = 0.037, All_Time = 111.074
model saved to gru_0x_500/model.ckpt
3050/132500 (epoch 11), train_loss = 2.762, time/batch = 0.037, All_Time = 112.936
3100/132500 (epoch 11), train_loss = 2.836, time/batch = 0.037, All_Time = 114.782
3150/132500 (epoch 11), train_loss = 2.644, time/batch = 0.037, All_Time = 116.620
3200/132500 (epoch 12), train_loss = 2.538, time/batch = 0.036, All_Time = 118.474
3250/132500 (epoch 12), train_loss = 2.563, time/batch = 0.038, All_Time = 120.333
3300/132500 (epoch 12), train_loss = 2.295, time/batch = 0.039, All_Time = 122.185
3350/132500 (epoch 12), train_loss = 2.369, time/batch = 0.039, All_Time = 124.048
3400/132500 (epoch 12), train_loss = 2.353, time/batch = 0.036, All_Time = 125.895
3450/132500 (epoch 13), train_loss = 2.318, time/batch = 0.035, All_Time = 127.743
3500/132500 (epoch 13), train_loss = 2.302, time/batch = 0.037, All_Time = 129.590
3550/132500 (epoch 13), train_loss = 1.931, time/batch = 0.037, All_Time = 131.446
