seed_text(prime_text),generated _text,perplexity,
international,"international park hotel, eastbourne. no reservation great great rates. find and compare exclusive",47.76170694,
hotel,hotel co north arizona beach ga hotels near the nh cruises your beach.,233.1375738,
deals,deals big! book your hotel in franschhoek online. no reservation costs. great rates.,53.08411589,
coupon,coupon rates or refund + $50 coupon. book hotel saint arizona road hotel,95.88136346,
reservation,reservation costs. great rates. book at avondale & tokyo windsor. no reservation costs.,85.74231567,
rates,"rates or refund + $50 coupon. save on hotels in fethiye, an, america",140.1825531,
great,"great big! a savings on hotels near san nd. chelsea real beach mall,",151.2775882,
cost,cost ormond beach. no reservation costs. great rates. book your hotel in lake,57.40221971,
expedia,expedia book at alpenhof ut punta ludlow. no reservation costs. great rates. lowest,177.7619258,
save,save big! book a easy hotel in phi switzerland. book an the street,82.50998337,
no,"no reservation costs. great rates. book at abbots broome, st venice. no reservation",94.49426771,
book,book your hotel in maldives greece find and compare exclusive deals on hotels,35.91861629,
big,big your hotel in elba wood. no reservation costs. great rates. book at,38.30805312,
vietnam,vietnam grassington online. no reservation costs. great rates. book accommodation in seoul online.,106.9516331,
canton mA,"canton mA fiesta garden garden beach. by phi bokek. book at the lodge suites,",459.3216611,
best prices,best prices or book le fiesta tree palace resort. plan your next trip with,179.3305569,
accommodation,accommodation no reservation costs. great rates. secure value with expedias price guarantee book,66.58200847,
carnegie mellon university,carnegie mellon university eastbourne. no reservation costs. great rates. book at bartley guest hotel bear,298.114136,
guarantee,"guarantee on hotels in brampton, south mn resort book the royal suites hotel,",111.5552132,
international,international ormond beach. no reservation costs. great rates. book your hotel in the,66.07963461,
hotel,hotel today! star palm hostel in conwy. no reservation costs. great rates. book,99.46513796,
deals,deals a motel in heineken experience. no reservation costs. great rates. hotels near,92.88795143,
coupon,coupon great rates. book a motel in brisbane great big on tours &,68.45982963,
reservation,reservation costs. great rates. find and compare exclusive deals on hotels in santorini,42.27288275,
rates,rates refund + $50 coupon. book sukhumvit airport pattaya hotel today! book at,122.7469204,
great,"great big! book the hotel piet hotel, honolulu. no reservation costs. great rates.",52.40260584,
cost,cost grassington online. no reservation costs. great rates. find and compare exclusive deals,75.54329771,
expedia,"expedia palm garden center, great ocean car maldron shopping at the dolphin inn,",331.0245366,
save,save on hotels in athens jamaica eco-friendly hotel on 3 casino. walk to,108.5270183,
no,"no rates or rates on blue garden ca city centre hotels. more choices,",128.7807668,
book,"book costs. great rates. book online. near temple washington airport. more choices, best",90.45245038,
big,"big big on hotels in lexington islands. book at great on expedia quick,",39.39328912,
vietnam,"vietnam hotel aranjuez, san jos. no reservation costs. great rates. book at hotel",59.46491294,
canton mA,canton mA a great at the mountains. no reservation costs. great rates! book at,50.88694678,
best prices,"best prices or book at paradise at goa, beach airport, morro bay. no reservation",127.7745221,
accommodation,accommodation no reservation costs. great rates. lowest price guarantee! book a hotel in,35.18912848,
carnegie mellon university,carnegie mellon university eastbourne. no reservation costs. great rates. 3.5-star when hostel in central walk,174.6140523,
guarantee,"guarantee no reservation costs. great rates. book at colonial inn, myrtle beach. no",78.42283833,
cabazon,"cabazon book at alpenhof niagara hotel, art del hall. best price guarantee. search",694.4539976,
flagstaff.,"flagstaff. no reservation costs. great rates. book at caravelle inn whistler erlowest, la",117.4088308,
kennebunk.,"kennebunk. no reservation costs. great rates. book at te madeira hotel, naples. no",110.7352229,
wroxham,"wroxham the spa. hotel, rio city. best price guarantee. best rates or refund",149.7413327,
ayodhya,ayodhya the cruises find deals on tours & sightseeing! save with expedia's price,194.7103872,
sannat.,"sannat. book at alpenhof condos, santa francisco. no reservation costs. great rates. best",74.26864189,
valcartier.,"valcartier. book at alpenhof islands hotel! book at waters hart hotel, aberdeen. no",183.7104866,
bendigo.,"bendigo. big! book a motel in columbus, brazil. no reservation costs. great rates.",44.62717619,
hospitality.,hospitality. palm garden beach resort and spa beach. best price guarantee. book hotels,56.46619486,
sea-tac,sea-tac online. best reservation costs. great rates. secure value with expedias price guarantee.,81.69111743,
"hialeah,","hialeah, london. no reservation costs. great rates. save with expedia's price guarantee. save",49.63830956,
tianguis,"tianguis lowest prices on cruises to moscow, rico. shop for the best rates!",412.0442151,
"casona,","casona, hotel aranjuez, key jos. no reservation costs. great rates. best rates on",37.02892093,
power,"power ormond beach. on hotels. tour top city cruises to booking ocean springs,",575.3325516,
murree,"murree national garden beach inn, myrtle beach. no reservation costs. great rates. book",147.9170004,
convenient,convenient trip with expedia. book lodging in san francisco. no reservation costs. great,80.12244843,
"hinckley,","hinckley, ormond beach. no reservation costs. great rates. book your hotel in north",87.11712698,
potos.,"potos. no reservation costs. great rates. 3-star the hotel near albufeira, near catalunya.",42.39959704,
"greensboro,","greensboro, park hotel, eastbourne. no reservation costs. great rates. find and compare exclusive",37.65873584,
,,,132.2241844
