0/39750 (epoch 0), train_loss = 9.860, time/batch = 0.374, All_Time = 0.374
model saved to lstm_2x_400/model.ckpt
50/39750 (epoch 0), train_loss = 5.913, time/batch = 0.081, All_Time = 4.257
100/39750 (epoch 0), train_loss = 5.871, time/batch = 0.076, All_Time = 8.123
150/39750 (epoch 0), train_loss = 5.947, time/batch = 0.077, All_Time = 11.994
200/39750 (epoch 0), train_loss = 5.914, time/batch = 0.075, All_Time = 15.861
250/39750 (epoch 0), train_loss = 5.975, time/batch = 0.076, All_Time = 19.752
300/39750 (epoch 1), train_loss = 6.035, time/batch = 0.076, All_Time = 23.632
350/39750 (epoch 1), train_loss = 6.058, time/batch = 0.077, All_Time = 27.510
400/39750 (epoch 1), train_loss = 5.933, time/batch = 0.080, All_Time = 31.388
450/39750 (epoch 1), train_loss = 6.005, time/batch = 0.079, All_Time = 35.310
500/39750 (epoch 1), train_loss = 5.956, time/batch = 0.078, All_Time = 39.185
550/39750 (epoch 2), train_loss = 5.841, time/batch = 0.076, All_Time = 43.075
600/39750 (epoch 2), train_loss = 5.950, time/batch = 0.078, All_Time = 46.957
650/39750 (epoch 2), train_loss = 5.870, time/batch = 0.080, All_Time = 50.848
700/39750 (epoch 2), train_loss = 5.975, time/batch = 0.077, All_Time = 54.744
750/39750 (epoch 2), train_loss = 5.934, time/batch = 0.075, All_Time = 58.629
800/39750 (epoch 3), train_loss = 5.927, time/batch = 0.077, All_Time = 62.522
850/39750 (epoch 3), train_loss = 6.048, time/batch = 0.080, All_Time = 66.413
900/39750 (epoch 3), train_loss = 5.665, time/batch = 0.075, All_Time = 70.349
950/39750 (epoch 3), train_loss = 5.925, time/batch = 0.078, All_Time = 74.240
1000/39750 (epoch 3), train_loss = 5.947, time/batch = 0.082, All_Time = 78.169
model saved to lstm_2x_400/model.ckpt
1050/39750 (epoch 3), train_loss = 5.849, time/batch = 0.077, All_Time = 82.080
1100/39750 (epoch 4), train_loss = 5.870, time/batch = 0.076, All_Time = 85.978
1150/39750 (epoch 4), train_loss = 6.083, time/batch = 0.079, All_Time = 89.905
1200/39750 (epoch 4), train_loss = 6.038, time/batch = 0.075, All_Time = 93.857
1250/39750 (epoch 4), train_loss = 5.931, time/batch = 0.075, All_Time = 97.793
1300/39750 (epoch 4), train_loss = 6.031, time/batch = 0.080, All_Time = 101.763
1350/39750 (epoch 5), train_loss = 6.066, time/batch = 0.078, All_Time = 105.740
1400/39750 (epoch 5), train_loss = 5.862, time/batch = 0.075, All_Time = 109.691
1450/39750 (epoch 5), train_loss = 5.986, time/batch = 0.080, All_Time = 113.637
1500/39750 (epoch 5), train_loss = 6.125, time/batch = 0.080, All_Time = 117.607
1550/39750 (epoch 5), train_loss = 5.892, time/batch = 0.082, All_Time = 121.579
1600/39750 (epoch 6), train_loss = 5.846, time/batch = 0.078, All_Time = 125.538
1650/39750 (epoch 6), train_loss = 5.923, time/batch = 0.076, All_Time = 129.486
1700/39750 (epoch 6), train_loss = 5.956, time/batch = 0.078, All_Time = 133.423
1750/39750 (epoch 6), train_loss = 5.895, time/batch = 0.077, All_Time = 137.394
1800/39750 (epoch 6), train_loss = 5.907, time/batch = 0.082, All_Time = 141.373
1850/39750 (epoch 6), train_loss = 5.816, time/batch = 0.082, All_Time = 145.347
1900/39750 (epoch 7), train_loss = 6.082, time/batch = 0.080, All_Time = 149.277
1950/39750 (epoch 7), train_loss = 5.546, time/batch = 0.081, All_Time = 153.222
2000/39750 (epoch 7), train_loss = 5.965, time/batch = 0.077, All_Time = 157.141
model saved to lstm_2x_400/model.ckpt
2050/39750 (epoch 7), train_loss = 5.986, time/batch = 0.079, All_Time = 161.111
2100/39750 (epoch 7), train_loss = 6.036, time/batch = 0.080, All_Time = 165.069
2150/39750 (epoch 8), train_loss = 5.911, time/batch = 0.081, All_Time = 168.991
2200/39750 (epoch 8), train_loss = 5.847, time/batch = 0.080, All_Time = 172.949
2250/39750 (epoch 8), train_loss = 5.817, time/batch = 0.078, All_Time = 176.887
2300/39750 (epoch 8), train_loss = 6.057, time/batch = 0.080, All_Time = 180.855
2350/39750 (epoch 8), train_loss = 5.729, time/batch = 0.080, All_Time = 184.889
2400/39750 (epoch 9), train_loss = 6.092, time/batch = 0.081, All_Time = 188.845
2450/39750 (epoch 9), train_loss = 5.983, time/batch = 0.079, All_Time = 192.823
2500/39750 (epoch 9), train_loss = 5.776, time/batch = 0.080, All_Time = 196.766
2550/39750 (epoch 9), train_loss = 5.766, time/batch = 0.078, All_Time = 200.719
2600/39750 (epoch 9), train_loss = 5.980, time/batch = 0.079, All_Time = 204.684
2650/39750 (epoch 10), train_loss = 5.933, time/batch = 0.078, All_Time = 208.628
2700/39750 (epoch 10), train_loss = 5.690, time/batch = 0.076, All_Time = 212.612
2750/39750 (epoch 10), train_loss = 5.759, time/batch = 0.077, All_Time = 216.572
2800/39750 (epoch 10), train_loss = 5.830, time/batch = 0.077, All_Time = 220.531
2850/39750 (epoch 10), train_loss = 5.772, time/batch = 0.081, All_Time = 224.485
2900/39750 (epoch 10), train_loss = 5.824, time/batch = 0.082, All_Time = 228.444
2950/39750 (epoch 11), train_loss = 5.986, time/batch = 0.083, All_Time = 232.420
3000/39750 (epoch 11), train_loss = 5.973, time/batch = 0.080, All_Time = 236.372
model saved to lstm_2x_400/model.ckpt
3050/39750 (epoch 11), train_loss = 5.846, time/batch = 0.076, All_Time = 240.309
3100/39750 (epoch 11), train_loss = 5.900, time/batch = 0.080, All_Time = 244.245
3150/39750 (epoch 11), train_loss = 5.843, time/batch = 0.078, All_Time = 248.169
3200/39750 (epoch 12), train_loss = 5.757, time/batch = 0.081, All_Time = 252.123
3250/39750 (epoch 12), train_loss = 5.848, time/batch = 0.081, All_Time = 256.036
3300/39750 (epoch 12), train_loss = 5.772, time/batch = 0.077, All_Time = 260.019
3350/39750 (epoch 12), train_loss = 5.852, time/batch = 0.078, All_Time = 263.970
3400/39750 (epoch 12), train_loss = 5.816, time/batch = 0.076, All_Time = 267.952
3450/39750 (epoch 13), train_loss = 5.833, time/batch = 0.080, All_Time = 271.908
3500/39750 (epoch 13), train_loss = 5.941, time/batch = 0.077, All_Time = 275.861
3550/39750 (epoch 13), train_loss = 5.580, time/batch = 0.082, All_Time = 279.829
3600/39750 (epoch 13), train_loss = 5.854, time/batch = 0.076, All_Time = 283.766
3650/39750 (epoch 13), train_loss = 5.835, time/batch = 0.079, All_Time = 287.706
3700/39750 (epoch 13), train_loss = 5.757, time/batch = 0.077, All_Time = 291.688
3750/39750 (epoch 14), train_loss = 5.767, time/batch = 0.076, All_Time = 295.622
3800/39750 (epoch 14), train_loss = 5.975, time/batch = 0.077, All_Time = 299.647
3850/39750 (epoch 14), train_loss = 5.928, time/batch = 0.076, All_Time = 303.622
3900/39750 (epoch 14), train_loss = 5.816, time/batch = 0.076, All_Time = 307.573
3950/39750 (epoch 14), train_loss = 5.909, time/batch = 0.077, All_Time = 311.502
4000/39750 (epoch 15), train_loss = 5.953, time/batch = 0.079, All_Time = 315.459
model saved to lstm_2x_400/model.ckpt
