0/39750 (epoch 0), train_loss = 9.862, time/batch = 0.230, All_Time = 0.230
model saved to rnn_2x_400/model.ckpt
50/39750 (epoch 0), train_loss = 5.931, time/batch = 0.066, All_Time = 3.286
100/39750 (epoch 0), train_loss = 5.910, time/batch = 0.063, All_Time = 6.523
150/39750 (epoch 0), train_loss = 5.991, time/batch = 0.066, All_Time = 9.810
200/39750 (epoch 0), train_loss = 5.956, time/batch = 0.064, All_Time = 13.060
250/39750 (epoch 0), train_loss = 6.022, time/batch = 0.066, All_Time = 16.356
300/39750 (epoch 1), train_loss = 6.073, time/batch = 0.061, All_Time = 19.413
350/39750 (epoch 1), train_loss = 6.103, time/batch = 0.062, All_Time = 22.510
400/39750 (epoch 1), train_loss = 5.982, time/batch = 0.066, All_Time = 25.773
450/39750 (epoch 1), train_loss = 6.060, time/batch = 0.067, All_Time = 29.009
500/39750 (epoch 1), train_loss = 6.012, time/batch = 0.063, All_Time = 32.319
550/39750 (epoch 2), train_loss = 5.767, time/batch = 0.063, All_Time = 35.413
600/39750 (epoch 2), train_loss = 7.571, time/batch = 0.060, All_Time = 38.472
650/39750 (epoch 2), train_loss = 6.656, time/batch = 0.061, All_Time = 41.592
700/39750 (epoch 2), train_loss = 6.756, time/batch = 0.063, All_Time = 44.803
750/39750 (epoch 2), train_loss = 6.679, time/batch = 0.061, All_Time = 47.985
800/39750 (epoch 3), train_loss = 9.384, time/batch = 0.055, All_Time = 51.211
850/39750 (epoch 3), train_loss = 8.777, time/batch = 0.063, All_Time = 54.330
900/39750 (epoch 3), train_loss = 7.479, time/batch = 0.066, All_Time = 57.555
950/39750 (epoch 3), train_loss = 6.527, time/batch = 0.068, All_Time = 60.897
1000/39750 (epoch 3), train_loss = 6.127, time/batch = 0.061, All_Time = 64.209
model saved to rnn_2x_400/model.ckpt
1050/39750 (epoch 3), train_loss = 9.340, time/batch = 0.057, All_Time = 67.227
1100/39750 (epoch 4), train_loss = 7.575, time/batch = 0.064, All_Time = 70.192
1150/39750 (epoch 4), train_loss = 7.841, time/batch = 0.066, All_Time = 73.469
1200/39750 (epoch 4), train_loss = 6.321, time/batch = 0.064, All_Time = 76.686
1250/39750 (epoch 4), train_loss = 5.992, time/batch = 0.066, All_Time = 79.925
1300/39750 (epoch 4), train_loss = 5.919, time/batch = 0.062, All_Time = 83.176
1350/39750 (epoch 5), train_loss = 6.337, time/batch = 0.063, All_Time = 86.276
1400/39750 (epoch 5), train_loss = 5.950, time/batch = 0.061, All_Time = 89.388
1450/39750 (epoch 5), train_loss = 5.900, time/batch = 0.068, All_Time = 92.508
1500/39750 (epoch 5), train_loss = 5.977, time/batch = 0.061, All_Time = 95.682
1550/39750 (epoch 5), train_loss = 5.838, time/batch = 0.064, All_Time = 98.930
1600/39750 (epoch 6), train_loss = 7.474, time/batch = 0.062, All_Time = 102.175
1650/39750 (epoch 6), train_loss = 6.363, time/batch = 0.060, All_Time = 105.453
1700/39750 (epoch 6), train_loss = 6.079, time/batch = 0.065, All_Time = 108.758
1750/39750 (epoch 6), train_loss = 5.899, time/batch = 0.063, All_Time = 112.062
1800/39750 (epoch 6), train_loss = 5.915, time/batch = 0.065, All_Time = 115.365
1850/39750 (epoch 6), train_loss = 5.826, time/batch = 0.072, All_Time = 118.670
1900/39750 (epoch 7), train_loss = 6.149, time/batch = 0.066, All_Time = 121.743
1950/39750 (epoch 7), train_loss = 5.678, time/batch = 0.064, All_Time = 124.981
2000/39750 (epoch 7), train_loss = 5.935, time/batch = 0.068, All_Time = 128.287
model saved to rnn_2x_400/model.ckpt
2050/39750 (epoch 7), train_loss = 5.901, time/batch = 0.064, All_Time = 131.340
2100/39750 (epoch 7), train_loss = 5.991, time/batch = 0.067, All_Time = 134.630
2150/39750 (epoch 8), train_loss = 6.179, time/batch = 0.068, All_Time = 137.785
2200/39750 (epoch 8), train_loss = 6.039, time/batch = 0.068, All_Time = 141.079
2250/39750 (epoch 8), train_loss = 5.976, time/batch = 0.068, All_Time = 144.366
2300/39750 (epoch 8), train_loss = 6.121, time/batch = 0.066, All_Time = 147.658
2350/39750 (epoch 8), train_loss = 5.758, time/batch = 0.071, All_Time = 151.018
2400/39750 (epoch 9), train_loss = 6.085, time/batch = 0.057, All_Time = 154.263
2450/39750 (epoch 9), train_loss = 6.017, time/batch = 0.069, All_Time = 157.479
2500/39750 (epoch 9), train_loss = 5.831, time/batch = 0.064, All_Time = 160.870
2550/39750 (epoch 9), train_loss = 5.780, time/batch = 0.067, All_Time = 164.180
2600/39750 (epoch 9), train_loss = 5.909, time/batch = 0.066, All_Time = 167.473
2650/39750 (epoch 10), train_loss = 6.487, time/batch = 0.059, All_Time = 170.834
2700/39750 (epoch 10), train_loss = 5.686, time/batch = 0.062, All_Time = 173.880
2750/39750 (epoch 10), train_loss = 5.809, time/batch = 0.073, All_Time = 177.161
2800/39750 (epoch 10), train_loss = 5.814, time/batch = 0.063, All_Time = 180.403
