0/530000 (epoch 0), train_loss = 9.881, time/batch = 0.224, All_Time = 0.224
model saved to save/model.ckpt
50/530000 (epoch 0), train_loss = 5.989, time/batch = 0.036, All_Time = 2.078
100/530000 (epoch 0), train_loss = 5.887, time/batch = 0.037, All_Time = 3.906
150/530000 (epoch 0), train_loss = 5.944, time/batch = 0.035, All_Time = 5.756
200/530000 (epoch 0), train_loss = 5.868, time/batch = 0.038, All_Time = 7.582
250/530000 (epoch 0), train_loss = 5.919, time/batch = 0.036, All_Time = 9.403
300/530000 (epoch 1), train_loss = 6.063, time/batch = 0.038, All_Time = 11.241
350/530000 (epoch 1), train_loss = 6.043, time/batch = 0.037, All_Time = 13.083
400/530000 (epoch 1), train_loss = 5.949, time/batch = 0.036, All_Time = 14.911
450/530000 (epoch 1), train_loss = 6.009, time/batch = 0.036, All_Time = 16.735
500/530000 (epoch 1), train_loss = 6.001, time/batch = 0.039, All_Time = 18.571
550/530000 (epoch 2), train_loss = 5.814, time/batch = 0.038, All_Time = 20.398
600/530000 (epoch 2), train_loss = 5.881, time/batch = 0.036, All_Time = 22.240
650/530000 (epoch 2), train_loss = 5.871, time/batch = 0.035, All_Time = 24.074
700/530000 (epoch 2), train_loss = 5.926, time/batch = 0.038, All_Time = 25.913
750/530000 (epoch 2), train_loss = 5.896, time/batch = 0.035, All_Time = 27.748
800/530000 (epoch 3), train_loss = 5.882, time/batch = 0.037, All_Time = 29.591
850/530000 (epoch 3), train_loss = 5.986, time/batch = 0.038, All_Time = 31.422
900/530000 (epoch 3), train_loss = 5.683, time/batch = 0.037, All_Time = 33.252
950/530000 (epoch 3), train_loss = 5.942, time/batch = 0.037, All_Time = 35.080
1000/530000 (epoch 3), train_loss = 5.915, time/batch = 0.037, All_Time = 36.906
model saved to save/model.ckpt
1050/530000 (epoch 3), train_loss = 5.913, time/batch = 0.039, All_Time = 38.756
1100/530000 (epoch 4), train_loss = 5.904, time/batch = 0.036, All_Time = 40.587
1150/530000 (epoch 4), train_loss = 6.059, time/batch = 0.036, All_Time = 42.439
1200/530000 (epoch 4), train_loss = 6.012, time/batch = 0.036, All_Time = 44.263
1250/530000 (epoch 4), train_loss = 5.823, time/batch = 0.036, All_Time = 46.099
1300/530000 (epoch 4), train_loss = 6.064, time/batch = 0.036, All_Time = 47.943
1350/530000 (epoch 5), train_loss = 6.062, time/batch = 0.038, All_Time = 49.781
1400/530000 (epoch 5), train_loss = 5.867, time/batch = 0.036, All_Time = 51.626
1450/530000 (epoch 5), train_loss = 5.934, time/batch = 0.036, All_Time = 53.457
1500/530000 (epoch 5), train_loss = 6.154, time/batch = 0.037, All_Time = 55.291
1550/530000 (epoch 5), train_loss = 5.933, time/batch = 0.037, All_Time = 57.124
1600/530000 (epoch 6), train_loss = 5.829, time/batch = 0.038, All_Time = 58.965
1650/530000 (epoch 6), train_loss = 5.930, time/batch = 0.037, All_Time = 60.791
1700/530000 (epoch 6), train_loss = 5.887, time/batch = 0.038, All_Time = 62.628
1750/530000 (epoch 6), train_loss = 5.845, time/batch = 0.037, All_Time = 64.462
